county name,active in state texas attorney_2010,active in state texas attorney_2011,active in state texas attorney_2012,active in state texas attorney_2013,active in state texas attorney_2014,active in state texas attorney_2015,active in state texas attorney_2016,active in state texas attorney_2017,active in state texas attorney_2018,active in state texas attorney_2019,active in state texas attorney_2020,active in state texas attorney_2021,active in state texas attorney_2022,active in state texas attorney_2023,active in state texas attorney_2024,population_2010,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2023,population_2024,ratio of attorney to population_2010,ratio of attorney to population_2011,ratio of attorney to population_2012,ratio of attorney to population_2013,ratio of attorney to population_2014,ratio of attorney to population_2015,ratio of attorney to population_2016,ratio of attorney to population_2017,ratio of attorney to population_2018,ratio of attorney to population_2019,ratio of attorney to population_2020,ratio of attorney to population_2021,ratio of attorney to population_2023,ratio of attorney to population_2024,attorney as a percentage of total in state attorney_2010,attorney as a percentage of total in state attorney_2011,attorney as a percentage of total in state attorney_2012,attorney as a percentage of total in state attorney_2013,attorney as a percentage of total in state attorney_2014,attorney as a percentage of total in state attorney_2015,attorney as a percentage of total in state attorney_2016,attorney as a percentage of total in state attorney_2017,attorney as a percentage of total in state attorney_2018,attorney as a percentage of total in state attorney_2019,attorney as a percentage of total in state attorney_2020,attorney as a percentage of total in state attorney_2021,attorney as a percentage of total in state attorney_2023,attorney as a percentage of total in state attorney_2024,population as a percentage of total texas population_2010,population as a percentage of total texas population_2011,population as a percentage of total texas population_2012,population as a percentage of total texas population_2013,population as a percentage of total texas population_2014,population as a percentage of total texas population_2015,population as a percentage of total texas population_2016,population as a percentage of total texas population_2017,population as a percentage of total texas population_2018,population as a percentage of total texas population_2019,population as a percentage of total texas population_2020,population as a percentage of total texas population_2021,population as a percentage of total texas population_2023,population as a percentage of total texas population_2024
Roberts County,0,0,0,2,2,2,3,2,1,1,1,1,1,1,1,929,816,854,831,928,916,,938,903,854,827,797,840,837,1:--,1:--,1:--,0.330555556,0.363888889,0.359722222,,0.367361111,0.66875,0.634722222,0.615972222,0.595138889,0.625,0.622916667,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Robertson County,22,21,23,22,24,23,21,20,20,20,20,21,22,22,22,16622,16740,16545,16486,16500,16659,,17203,17284,17074,16757,16958,17267,17659,0.566666667,0.595138889,0.540972222,0.561805556,0.519444444,0.544444444,,0.638888889,0.641666667,0.634722222,0.623611111,0.602777778,0.586805556,0.599305556,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0007,0.0006,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0006,0.0006
Rockwall County,182,205,217,228,242,236,261,256,269,269,309,318,359,390,408,78337,81290,83021,85245,87809,90861,,96788,100657,104915,107819,116381,131307,137044,0.340277778,0.317361111,0.307638889,0.301388889,0.29375,0.309027778,,0.304166667,0.301388889,0.3125,0.284027778,0.295833333,0.275694444,0.275,0.0021,0.0025,0.0026,0.0027,0.0028,0.0027,,0.0028,0.0029,0.0029,0.0034,0.0033,0.004,0.0042,,0.0032,0.0032,,,0.0033,,0.0034,,0.0037,0.0038,0.0039,0.0044,0.0046
Runnels County,10,10,10,11,10,10,9,9,9,9,7,6,8,9,8,10501,10524,10449,10309,10416,10551,,10266,10234,10264,9900,9943,9868,9751,"1:1,050","1:1,052","1:1,045",0.692361111,"1:1,042","1:1,055",,"1:1,141","1:1,137","1:1,140","1:1,414","1:1,657","1:1,096","1:1,219",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003
Rusk County,27,35,30,31,31,30,32,28,27,27,28,27,28,26,28,53330,53759,54026,53622,53923,53070,,52833,54450,54406,52214,52743,53079,53391,"1:1,975","1:1,536","1:1,801","1:1,730","1:1,739","1:1,769",,"1:1,887","1:2,017","1:2,015","1:1,865","1:1,953","1:2,042","1:1,907",0.0003,0.0004,0.0004,0.0004,0.0004,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0021,0.0021,,,0.0019,,0.0019,,0.0019,0.0018,0.0018,0.0018,0.0018
Sabine County,9,6,6,8,9,10,8,7,8,8,5,3,4,3,4,10834,10740,10433,10361,10350,10368,,10461,10589,10542,9894,10039,10106,10058,"1:1,204","1:1,790","1:1,739","1:1,295","1:1,150","1:1,037",,"1:1,494","1:1,324","1:1,318","1:1,979","1:3,346","1:3,369","1:2,515",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0,0,0,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0003,0.0003,0.0003,0.0003
San Augustine County,6,6,6,6,6,7,6,6,6,6,6,5,6,6,5,8865,8874,8818,8769,8610,8473,,8253,8232,8237,7918,7922,7833,7767,"1:1,478","1:1,479","1:1,470","1:1,462","1:1,435","1:1,210",,"1:1,376","1:1,372","1:1,373","1:1,320","1:1,584","1:1,306","1:1,553",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
San Jacinto County,11,17,17,18,16,13,15,15,15,15,16,16,16,15,15,26384,26801,27126,26856,27099,27413,,28270,28719,28859,27402,27878,28936,29326,"1:2,399","1:1,577","1:1,596","1:1,492","1:1,694","1:2,109",,"1:1,885","1:1,915","1:1,924","1:1,713","1:1,742","1:1,929","1:1,955",0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.001,0.001,,,0.001,,0.001,,0.001,0.001,0.0009,0.001,0.001
San Patricio County,56,71,65,66,66,62,70,71,71,71,69,71,71,74,70,64804,64726,65600,66137,66915,67357,,67215,66893,66730,68755,69699,70660,71467,"1:1,157",0.675,"1:1,009","1:1,002","1:1,014","1:1,086",,0.699305556,0.695833333,0.694444444,0.733333333,0.723611111,0.704861111,0.750694444,0.0006,0.0009,0.0008,0.0008,0.0008,0.0007,,0.0008,0.0008,0.0008,0.0008,0.0007,0.0008,0.0007,,0.0025,0.0025,,,0.0025,,0.0024,,0.0023,0.0024,0.0024,0.0024,0.0024
San Saba County,8,12,13,14,14,14,17,14,11,11,13,12,12,10,10,6131,6023,6002,6012,5622,5901,,5959,6054,6055,5730,5827,5845,5508,0.573611111,0.390277778,0.3625,0.339583333,0.320833333,0.334722222,,0.3375,0.423611111,0.423611111,0.347916667,0.379166667,0.447916667,0.424305556,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Schleicher County,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3461,3309,3264,3206,3162,3211,,3001,2895,2793,2451,2429,2391,2302,"1:3,461","1:1,655","1:1,632","1:1,603","1:1,581",0.599305556,,0.5625,0.544444444,0.526388889,0.467361111,0.463194444,0.456944444,0.441666667,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Scurry County,15,9,8,9,10,11,9,9,8,8,7,8,8,6,9,16921,16919,17126,17302,17328,17615,,17050,16866,16703,16932,16824,16212,16211,"1:1,128","1:1,880","1:2,141","1:1,922","1:1,733","1:1,601",,"1:1,894","1:2,108","1:2,088","1:2,419","1:2,103","1:2,702","1:1,801",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0007,0.0007,,,0.0006,,0.0006,,0.0006,0.0006,0.0006,0.0005,0.0005
Shackelford County,2,2,3,3,3,4,4,4,5,5,4,4,5,5,5,3378,3318,3356,3375,3343,3350,,3328,3253,3265,3105,3212,3229,3169,"1:1,689","1:1,659","1:1,119","1:1,125","1:1,114",0.623611111,,0.619444444,0.49375,0.495138889,0.580555556,0.599305556,0.490277778,0.481944444,0,0,0,0,0,0,,0,0.0001,0.0001,0,0,0.0001,0.0001,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Shelby County,21,28,27,26,26,25,26,23,24,24,25,25,24,22,23,25448,25772,26019,25792,25515,25402,,25513,25418,25274,24022,23939,24179,24192,"1:1,212",0.680555556,0.711111111,0.730555556,0.722916667,"1:1,016",,"1:1,109","1:1,059","1:1,053",0.709027778,0.706944444,"1:1,099","1:1,052",0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,,0.001,0.001,,,0.0009,,0.0009,,0.0009,0.0008,0.0008,0.0008,0.0008
Sherman County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3034,3040,3073,3093,3084,3072,,3067,3079,3022,2782,2798,2678,2771,"1:1,011",1:--,1:--,1:--,1:--,1:--,,1:--,1:--,1:--,1:--,1:--,1:--,1: --,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Smith County,263,604,617,635,645,646,627,634,623,623,647,667,676,689,692,209714,213381,214821,216080,218842,222936,,227727,230221,232751,233479,237186,245209,249091,0.595138889,0.286805556,0.283333333,0.277777778,0.277083333,0.28125,,0.290972222,0.298611111,0.301388889,0.292361111,0.288888889,0.288888889,0.291666667,0.003,0.0075,0.0075,0.0075,0.0075,0.0073,,0.007,0.0068,0.0068,0.0071,0.007,0.0071,0.0071,,0.0083,0.0082,,,0.0081,,0.008,,0.0081,0.0081,0.008,0.0082,0.0083
Somervell County,6,5,5,6,7,7,6,7,8,8,7,10,11,12,11,8490,8451,8598,8658,8694,8739,,8845,9016,9128,9205,9469,9888,10098,"1:1,415","1:1,690","1:1,720","1:1,443","1:1,242","1:1,248",,"1:1,264","1:1,127","1:1,141","1:1,315",0.699305556,0.613888889,0.679166667,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Starr County,9,40,36,42,39,43,44,43,47,47,49,47,46,42,44,60968,61715,61615,61963,62955,63795,,64454,64525,64633,65920,66049,65934,66587,"1:6,774","1:1,543","1:1,712","1:1,475","1:1,614","1:1,484",,"1:1,499","1:1,373","1:1,375","1:1,345","1:1,405","1:1,570","1:1,513",0.0001,0.0005,0.0004,0.0005,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0004,0.0005,,0.0024,0.0024,,,0.0023,,0.0023,,0.0023,0.0023,0.0022,0.0022,0.0022
Stephens County,9,6,8,6,5,5,3,4,4,4,4,6,6,6,5,9630,9548,9464,9247,9405,9440,,9337,9433,9366,9101,9173,9343,9475,"1:1,070","1:1,591","1:1,183","1:1,541","1:1,881","1:1,888",,"1:2,334","1:2,358","1:2,342","1:2,275","1:1,529","1:1,557","1:1,895",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0,0,0,0,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0003,,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0003
Sterling County,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1143,1158,1191,1219,1339,1352,,1295,1311,1291,1372,1381,1397,1387,1:--,"1:1,158","1:1,191","1:1,219","1:1,339","1:1,352",,"1:1,295","1:1,311","1:1,291","1:1,372","1:1,381","1:1,397","1:1,387",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Stonewall County,1,0,0,0,1,1,2,2,1,1,1,1,1,1,1,1490,1472,1475,1432,1403,1410,,1388,1362,1350,1245,1217,1218,1235,"1:1,490",1:--,1:--,1:--,"1:1,403","1:1,410",,0.523611111,"1:1,362","1:1,350","1:1,245","1:1,217","1:1,218","1:1,235",0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0,,0,0,0,0,0
Sutton County,4,5,7,8,7,8,7,8,8,8,8,10,9,8,8,4128,4007,3950,4006,3972,3913,,3767,3758,3776,3372,3319,3221,3269,"1:1,032",0.597916667,0.433333333,0.389583333,0.435416667,0.38125,,0.36875,0.368055556,0.369444444,0.334722222,0.272222222,0.321527778,0.325694444,0,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0002,0.0002,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Swisher County,8,4,4,5,4,5,5,4,4,4,4,4,5,5,5,7854,7801,7891,7763,7581,7533,,7515,7462,7397,6971,7008,6955,6877,0.723611111,"1:1,950","1:1,973","1:1,553","1:1,895","1:1,507",,"1:1,879","1:1,866","1:1,849","1:1,743","1:1,752","1:1,391","1:1,375",0.0001,0,0,0.0001,0,0.0001,,0,0,0,0,0,0.0001,0.0001,,0.0003,0.0003,,,0.0003,,0.0003,,0.0003,0.0002,0.0002,0.0002,0.0002
Tarrant County,4641,4802,4910,5003,5140,5285,5370,5429,5417,5417,5555,5615,5739,5827,5909,1809034,1849815,1880153,1911541,1945360,1982498,,2054475,2084931,2102515,2110640,2126477,2182947,2230708,0.3125,0.309027778,0.307638889,0.306944444,0.304166667,0.302083333,,0.304166667,0.309027778,0.311111111,0.305555556,0.304861111,0.302083333,0.304166667,0.0534,0.0595,0.0594,0.059,0.0594,0.0601,,0.0597,0.0594,0.0594,0.0609,0.059,0.0602,0.061,,0.072,0.0721,,,0.0722,,0.0726,,0.0733,0.0735,0.072,0.0727,0.0743
Taylor County,252,239,248,252,256,263,258,264,266,266,256,263,267,271,274,131506,132755,133473,134117,135143,136051,,136290,137640,138034,143208,143326,146836,148813,0.404166667,0.427083333,0.415277778,0.411111111,0.408333333,0.400694444,,0.4,0.400694444,0.402083333,0.429861111,0.420138889,0.418055556,0.41875,0.0029,0.003,0.003,0.003,0.003,0.003,,0.0029,0.0029,0.0029,0.0028,0.0028,0.0028,0.0028,,0.0052,0.0051,,,0.005,,0.0048,,0.0048,0.005,0.0049,0.0049,0.005
Terrell County,1,3,4,4,4,2,2,2,2,2,2,2,2,2,2,984,960,917,903,927,837,,810,823,776,760,724,687,718,0.725,0.263888889,0.200694444,0.198611111,0.202777778,0.332638889,,0.322916667,0.327777778,0.311111111,0.305555556,0.293055556,0.280555556,0.290972222,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,0,,0,0,0,0,0
Terry County,14,9,9,9,9,9,8,8,8,8,8,6,7,7,6,12651,12675,12613,12743,12739,12739,,12715,12287,12337,11831,11754,11547,11602,0.669444444,"1:1,408","1:1,401","1:1,416","1:1,415","1:1,415",,"1:1,589","1:1,536","1:1,542","1:1,479","1:1,959","1:1,650","1:1,934",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Throckmorton County,2,1,1,1,1,1,1,1,2,2,2,1,1,0,0,1641,1609,1601,1600,1608,1579,,1527,1515,1501,1440,1495,1526,1532,0.611805556,"1:1,609","1:1,601","1:1,600","1:1,608","1:1,579",,"1:1,527",0.568055556,0.563194444,0.541666667,"1:1,495",1:--,1: --,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Titus County,35,25,24,26,26,26,25,25,24,24,23,22,21,18,20,32334,32596,32663,32581,32506,32623,,32904,33033,32750,31247,31183,31357,31547,0.683333333,"1:1,304","1:1,361","1:1,253","1:1,250","1:1,255",,"1:1,316","1:1,376","1:1,365","1:1,359","1:1,417","1:1,742","1:1,577",0.0004,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,,0.0013,0.0013,,,0.0012,,0.0012,,0.0011,0.0011,0.0011,0.001,0.0011
Tom Green County,125,199,200,204,200,194,198,201,208,208,198,197,206,212,215,110224,111823,113281,114954,116608,118105,,118019,118189,119200,120003,119411,119057,120103,0.654166667,0.431944444,0.434722222,0.433333333,0.446527778,0.464583333,,0.449305556,0.436111111,0.439583333,0.4625,0.4625,0.431944444,0.429861111,0.0014,0.0025,0.0024,0.0024,0.0023,0.0022,,0.0022,0.0023,0.0023,0.0022,0.0021,0.0022,0.0022,,0.0044,0.0043,,,0.0043,,0.0042,,0.0042,0.0042,0.004,0.004,0.004
Travis County,8990,9212,9473,9748,9991,10204,10441,10518,10649,10649,10927,11071,11283,11424,11601,1024266,1063130,1095584,1120954,1151145,1176558,,1226698,1248743,1273954,1290188,1305154,1334961,1363767,0.120833333,0.121527778,0.122222222,0.121527778,0.121527778,0.121527778,,0.122916667,0.122916667,0.125,0.123611111,0.123611111,0.122916667,0.123611111,0.1033,0.1142,0.1147,0.115,0.1155,0.116,,0.1156,0.1167,0.1167,0.1198,0.1163,0.118,0.1198,,0.0414,0.042,,,0.0428,,0.0433,,0.0444,0.045,0.0442,0.0445,0.0454
Trinity County,10,8,7,8,6,6,6,7,8,8,9,9,12,14,13,13819,14659,14309,14393,14224,14402,,14667,14740,14651,13602,13827,14228,14489,"1:1,382","1:1,832","1:2,044","1:1,799","1:2,371","1:2,400",,"1:2,095","1:1,843","1:1,831","1:1,511","1:1,536","1:1,016","1:1,115",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0006,0.0005,,,0.0005,,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005
Tyler County,11,15,17,18,16,16,17,18,15,15,14,15,15,15,15,21766,21666,21458,21464,21418,21347,,21539,21696,21672,13602,20077,20382,20560,"1:1,979","1:1,444","1:1,262","1:1,192","1:1,339","1:1,334",,"1:1,197","1:1,446","1:1,445",0.716666667,"1:1,338","1:1,359","1:1,371",0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,,0.0008,0.0008,,,0.0008,,0.0008,,0.0008,0.0005,0.0007,0.0007,0.0007
Upshur County,26,32,36,33,33,35,35,34,38,38,37,39,38,36,36,39309,39826,39995,39884,40354,40603,,41281,41260,41753,40892,41774,43281,44050,"1:1,512","1:1,245","1:1,111","1:1,209","1:1,223","1:1,160",,"1:1,214","1:1,086","1:1,099","1:1,105","1:1,071","1:1,202","1:1,224",0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0016,0.0015,,,0.0015,,0.0015,,0.0015,0.0014,0.0014,0.0014,0.0015
Upton County,6,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3355,3346,3283,3372,3454,3651,,3663,3671,3657,3308,3265,3109,3128,0.429861111,"1:1,673","1:1,642","1:1,686","1:1,727","1:1,217",,"1:1,832","1:1,836","1:1,829","1:1,654","1:1,633","1:1,555","1:1,564",0.0001,0,0,0,0,0,,0,0,0,0,0,0,0,,0.0001,0.0001,,,0.0001,,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001
Uvalde County,22,32,33,34,34,33,30,30,29,29,30,34,32,32,31,26405,26535,26752,26926,27117,27245,,27132,26846,26741,24564,24729,24960,25138,"1:1,200",0.617361111,0.604861111,0.591666667,0.595833333,0.615277778,,0.669444444,0.684722222,0.681944444,0.610416667,0.615972222,0.583333333,0.604861111,0.0003,0.0004,0.0004,0.0004,0.0004,0.0004,,0.0003,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003,,0.001,0.001,,,0.001,,0.001,,0.0009,0.0009,0.0008,0.0008,0.0008
Val Verde County,37,73,69,67,67,63,63,64,66,66,71,74,71,66,69,48879,49106,48705,48623,48974,48988,,49205,49208,49025,47586,47564,47720,47999,"1:1,321",0.509027778,0.531944444,0.545833333,0.549305556,0.581944444,,0.575694444,0.559722222,0.557638889,0.506944444,0.488194444,0.54375,0.525,0.0004,0.0009,0.0008,0.0008,0.0008,0.0007,,0.0007,0.0007,0.0007,0.0008,0.0008,0.0007,0.0007,,0.0019,0.0019,,,0.0018,,0.0017,,0.0017,0.0017,0.0016,0.0016,0.0016
Van Zandt County,32,41,39,41,40,42,48,49,50,50,50,50,54,57,57,52579,52776,52427,52481,52910,53547,,55182,56019,56590,59541,61275,64000,65304,"1:1,643","1:1,287","1:1,344","1:1,280","1:1,323","1:1,275",,"1:1,126","1:1,120","1:1,132","1:1,191","1:1,226","1:1,123","1:1,146",0.0004,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0006,0.0006,,0.0021,0.002,,,0.0019,,0.0019,,0.002,0.0021,0.0021,0.0021,0.0022
Victoria County,86,170,178,171,176,182,178,177,171,171,175,172,165,157,155,86793,87545,89269,90028,91081,92382,,92084,92035,92084,91319,90964,91664,91949,"1:1,009",0.399305556,0.390277778,0.406944444,0.401388889,0.394444444,,0.402777778,0.415277778,0.415972222,0.404166667,0.409027778,0.447222222,0.453472222,0.001,0.0021,0.0022,0.002,0.002,0.0021,,0.0019,0.0019,0.0019,0.0019,0.0018,0.0016,0.0016,,0.0034,0.0034,,,0.0034,,0.0033,,0.0032,0.0032,0.0031,0.0031,0.0031
Walker County,84,107,111,115,113,103,101,99,99,99,63,112,97,98,98,67861,68087,68408,68817,69789,70699,,72245,72480,72971,76400,77977,81268,83722,0.602777778,0.483333333,0.469444444,0.456944444,0.470833333,0.518055556,,0.548611111,0.55,0.553472222,"1:1,213",0.525,0.617361111,0.634722222,0.001,0.0013,0.0013,0.0014,0.0013,0.0012,,0.0011,0.0011,0.0011,0.0007,0.0012,0.001,0.001,,0.0027,0.0026,,,0.0026,,0.0026,,0.0025,0.0027,0.0026,0.0027,0.0028
Waller County,41,44,46,50,54,52,55,53,55,55,63,66,72,75,79,43205,44013,44357,45213,46820,48656,,51307,53126,55246,56794,59781,63553,65109,"1:1,054","1:1,000",0.711111111,0.669444444,0.64375,0.691666667,,0.713888889,0.7125,"1:1,004",0.667361111,0.670833333,0.629861111,0.613888889,0.0005,0.0005,0.0006,0.0006,0.0006,0.0006,,0.0006,0.0006,0.0006,0.0007,0.0007,0.0008,0.0008,,0.0017,0.0017,,,0.0018,,0.0018,,0.0019,0.002,0.002,0.0021,0.0022
Ward County,16,7,7,7,9,8,8,7,6,6,7,8,8,8,7,10658,10716,10879,11244,11625,11721,,11472,11720,11998,11644,11194,10966,11038,0.504166667,"1:1,531","1:1,554","1:1,606","1:1,292","1:1,465",,"1:1,639","1:1,953","1:2,000","1:1,663","1:1,399","1:1,371","1:1,577",0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0004,0.0004,,,0.0004,,0.0004,,0.0004,0.0004,0.0004,0.0004,0.0004
Washington County,37,69,72,79,79,79,86,84,80,80,79,78,88,95,97,33718,33791,34093,34147,34438,34765,,35043,35108,35882,35805,35891,37007,37810,0.674305556,0.381944444,0.370833333,0.341666667,0.344444444,0.347222222,,0.33125,0.346527778,0.353472222,0.35625,0.361111111,0.3125,0.3125,0.0004,0.0009,0.0009,0.0009,0.0009,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0008,0.001,0.001,,0.0013,0.0013,,,0.0013,,0.0012,,0.0013,0.0012,0.0012,0.0012,0.0013
Webb County,263,322,330,331,333,338,348,345,345,345,355,352,357,357,361,250304,256496,259172,262495,266673,269721,,274794,275910,276652,267114,267945,269148,272823,0.702777778,0.595138889,0.586805556,0.592361111,0.597916667,0.595833333,,0.595138889,0.597222222,0.598611111,0.563888889,0.570138889,0.565277778,0.566666667,0.003,0.004,0.004,0.0039,0.0038,0.0038,,0.0038,0.0038,0.0038,0.0039,0.0037,0.0037,0.0037,,0.01,0.0099,,,0.0098,,0.0097,,0.0096,0.0093,0.0091,0.009,0.0091
Wharton County,35,46,55,53,52,52,48,46,45,45,49,50,49,47,47,41280,41314,41285,41216,41168,41486,,41968,41619,41556,41570,41721,41739,42035,"1:1,179",0.665277778,0.563194444,0.581944444,0.591666667,0.595833333,,0.675,0.684027778,0.682638889,0.630555556,0.620833333,0.658333333,0.6625,0.0004,0.0006,0.0007,0.0006,0.0006,0.0006,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,,0.0016,0.0016,,,0.0015,,0.0015,,0.0014,0.0014,0.0014,0.0014,0.0014
Wheeler County,4,6,4,4,4,4,4,3,3,3,3,3,3,3,3,5410,5465,5626,5751,5714,5657,,5358,5191,5056,4990,4927,4804,4824,"1:1,353",0.674305556,"1:1,407","1:1,438","1:1,429","1:1,414",,0.484722222,"1:1,730","1:1,685","1:1,663","1:1,642","1:1,601","1:1,608",0,0.0001,0,0,0,0,,0,0,0,0,0,0,0,,0.0002,0.0002,,,0.0002,,0.0002,,0.0002,0.0002,0.0002,0.0002,0.0002
Wichita County,174,214,215,209,206,209,211,207,205,205,196,198,199,201,200,131500,130698,131559,132047,132355,131705,,132000,132064,132230,129350,130069,130180,129984,0.566666667,0.465972222,0.466666667,0.480555556,0.488194444,0.479166667,,0.484722222,0.488888889,0.489583333,0.5,0.497916667,0.491666667,0.493055556,0.002,0.0027,0.0026,0.0025,0.0024,0.0024,,0.0023,0.0022,0.0022,0.0021,0.0021,0.0021,0.0021,,0.0051,0.005,,,0.0048,,0.0047,,0.0046,0.0045,0.0044,0.0043,0.0043
Wilbarger County,15,12,13,11,11,11,10,9,11,11,10,11,11,10,11,13535,13404,13258,13131,12973,13027,,12764,12820,12769,12887,12731,12522,12455,0.668055556,"1:1,117","1:1,020","1:1,194","1:1,179","1:1,184",,"1:1,418","1:1,165","1:1,161","1:1,289","1:1,157","1:1,252","1:1,132",0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0005,0.0005,,,0.0005,,0.0005,,0.0004,0.0004,0.0004,0.0004,0.0004
Willacy County,7,8,6,8,7,8,8,7,8,8,8,9,9,9,9,22134,22095,22058,21921,21903,21903,,21584,21515,21358,20164,20316,20037,20027,"1:3,162","1:2,762","1:3,676","1:2,740","1:3,129","1:2,738",,"1:3,083","1:2,689","1:2,670","1:2,521","1:2,257","1:2,226","1:2,225",0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0009,0.0008,,,0.0008,,0.0008,,0.0007,0.0007,0.0007,0.0007,0.0007
Williamson County,703,805,824,870,931,967,1026,1137,1165,1165,1267,1343,1389,1448,1466,422679,442782,456232,471014,489250,508514,,547545,566719,590551,609017,643026,697191,727480,0.459027778,0.423611111,0.426388889,0.417361111,0.406944444,0.406944444,,0.376388889,0.379166667,0.39375,0.375694444,0.374305556,0.375694444,0.386111111,0.0081,0.01,0.01,0.0103,0.0108,0.011,,0.0125,0.0128,0.0128,0.0139,0.0141,0.015,0.0151,,0.0172,0.0175,,,0.0185,,0.0193,,0.0206,0.0212,0.0218,0.0232,0.0242
